Model,L2 Cache (MB),L3 Cache (MB),TDP (Watt),MHz,Turbo,Cores,Threads,Process (nm),7-Zip
AMD Ryzen 7 3700U,2,4,15,2300,4000,4,8,12,15386.5
Intel Core i5-8250U,1,6,15,1600,3400,4,8,14,15365.5
AMD Ryzen 5 3580U,2,4,15,2100,3700,4,8,12,15209
Intel Core i5-1140G7,5,8,15,1800,4200,4,8,10,15167
Intel Core i5-1035G1,2,6,15,1000,3600,4,8,10,15156
AMD Ryzen 3 4300U,2,6,15,2700,3700,4,4,7,15043
AMD Ryzen 3 2200G,2,4,65,3500,3700,4,4,14,14790
Intel Core i5-1130G7,5,8,15,1800,4000,4,8,10,14726
AMD Ryzen 3 1300X,2,8,65,3500,3700,4,4,14,13712
Intel Core i5-2400,1,6,95,3100,3400,4,4,32,13326
Intel Core i5-1035G4,2,6,15,1100,3700,4,8,10,13057
Intel Core i3-1115G4,2.5,6,28,3000,4100,2,4,10,12793
AMD Ryzen 3 3300U,2,4,15,2100,3500,4,4,12,12118
AMD Ryzen 3 1200,2,8,65,3100,3400,4,4,14,11980
Intel Celeron N5095,1.5,4,15,2000,2900,4,4,10,11090.5
Intel Core i5-1030NG7,2,6,10,1100,3500,4,8,10,10924
Intel Core i3-1005G1,1,4,15,1200,3400,2,4,10,10896
Intel Core i7-8500Y,0.512,4,5,1500,4200,2,4,14,10709
Intel Core i3-10110U,1,4,15,2100,4100,2,4,14,10291.5
Intel Core i5-6287U,0.512,4,28,3100,3500,2,4,14,9829
Intel Core i7-6567U,0.512,4,28,3300,3600,2,4,14,9819
Intel Pentium Silver N6005,1.5,4,10,2000,3300,4,4,10,9665.5
Intel Core i7-7Y75,0.512,4,4.5,1300,3600,2,4,14,9657
AMD Ryzen 3 3250U,1,4,15,2600,3500,2,4,14,9496
Intel Core i3-8109U,0.512,4,28,3000,3600,2,4,14,9489
Intel Pentium Silver N6000,1.5,4,6,1100,3300,4,4,10,9212
AMD Ryzen 3 3200U,1,4,15,2600,3500,2,4,14,9081.5
AMD Ryzen Embedded R1606G,1,4,15,2600,3500,2,4,14,8969
Intel Core i7-6560U,0.512,4,15,2600,3200,2,4,14,8885
AMD Athlon Gold 3150U,1,4,15,2600,3300,2,4,14,8752
Intel Core i3-1110G4,2.5,6,15,2500,3900,2,4,10,8714
Intel Core i3-10100Y,0.512,4,5,1300,3900,2,4,14,8262
Intel Core i5-4258U,0.512,3,28,2400,2900,2,4,22,8238
Intel Core i5-8210Y,0.512,4,7,1600,3600,2,4,14,7936
Intel Core i3-1000NG4,1,4,9,1100,3200,2,4,10,7921
Intel Celeron J4125,4,4,10,2000,2700,4,4,14,7642
Intel Celeron J4115,4,4,10,1800,2500,4,4,14,7613.5
AMD A10-5750M,4,4,35,2500,3500,4,4,32,7608
Intel Core i5-L16G7,1.5,4,7,1400,3000,5,5,10,7586.5
Intel Pentium Silver N5000,4,4,6,1100,2700,4,4,14,7320
Intel Pentium Silver N5030,4,4,6,2000,3100,4,4,14,7238
Intel Celeron N4120,4,4,6,1100,2600,4,4,14,7184
Intel Core i5-5250U,0.512,3,15,1600,2700,2,4,14,7157
AMD Ryzen Embedded R1505G,2,4,10,2400,3300,2,4,14,6931
AMD A10-4600M,4,4,35,2300,3200,4,4,32,6898
AMD Athlon Silver 3050e,1,4,6,1400,2800,2,4,14,6641.5
AMD A8-5550M,4,4,35,2100,3100,4,4,32,6631
Intel Celeron N4100,4,4,6,1100,2400,4,4,14,6608
Intel Pentium Gold 5405U,0.512,2,15,2300,2300,2,4,14,6501.5
Intel Core m3-8100Y,0.512,4,5,1100,3400,2,4,14,6245.5
Intel Celeron N4505,1.5,4,10,2000,2900,2,2,10,6136
Intel Core i7-6770HQ,1,6,45,2600,3500,4,8,14,6069
Intel Core i3-5010U,0.512,3,15,2100,2100,2,4,14,6040
Intel Core i3-5005U,0.512,3,15,2000,2000,2,4,14,5871
AMD A6-5200,2,0,25,2000,2000,3,4,28,5648
Intel Celeron N4500,1.5,4,6,1100,2800,2,2,10,5394
AMD 3020e,1,4,6,1200,2600,2,2,14,4963
Intel Atom x7-E3950,2,0,12,1600,2000,4,4,14,4569
Intel Celeron N4020,4,0,6,1100,2800,2,2,14,4498
Intel Atom x5-E8000,2,0,5,1040,2000,4,4,14,4432
AMD A4-5000,2,0,15,1500,1500,4,4,28,4417.5
Intel Celeron 6305,2.5,4,15,1800,1800,2,2,10,4262.5
Intel Celeron N4000,4,4,6,1100,2600,2,2,14,4114
Intel Celeron N6211,1.5,0,6.5,1200,3000,2,2,10,3974
AMD A4-5150M,1,0,35,2700,3300,2,2,32,3768.5
Intel Celeron J3355,2,0,10,2000,2500,2,2,14,3541
Intel Celeron N3350,2,0,6,1100,2400,2,2,14,2979.5
Intel Celeron N2820,1,0,7.5,2170,2390,2,2,22,2891
AMD Ryzen 5 PRO 2500U,2,4,15,2000,3600,4,8,14,2794
AMD E1-2100,1,0,9,1000,1000,2,2,28,1358
