Model,L2 Cache,L3 Cache,TDP,MHz,Turbo,Cores,Threads,Process,Blender
Intel Core i7-5700HQ,1,6,47,2700,3500,4,8,14,666
Intel Core i7-6700HQ,1,6,45,2600,3500,4,8,14,673.9
Intel Core i5-1145G7,5,8,28,2600,4400,4,8,10,681
AMD Ryzen 5 3500U,2,4,15,2100,3700,4,8,12,694
AMD Ryzen 7 3700U,2,4,15,2300,4000,4,8,12,703
Intel Core i5-11400T,3,12,35,1300,3700,6,12,14,704
Intel Core i5-8350U,1,6,15,1700,3600,4,8,14,705
AMD Ryzen 5 3580U,2,4,15,2100,3700,4,8,12,710
AMD Ryzen 7 2700U,2,4,15,2200,3800,4,8,14,713
Intel Core i5-8257U,1,6,15,1400,3900,4,8,14,714
Intel Core i7-8665U,1,8,15,1900,4800,4,8,14,754.5
Intel Core i5-8259U,1,6,28,2300,3800,4,8,14,755
AMD Ryzen 5 2500U,2,4,15,2000,3600,4,8,14,770.55
AMD Ryzen 7 PRO 3700U,2,4,15,2300,4000,4,8,12,785
Intel Core i7-10610U,1,8,15,1800,4900,4,8,14,791
AMD Ryzen Embedded V1605B,2,4,15,2000,3600,4,8,14,791
Intel Core i5-1035G7,2,6,15,1200,3700,4,8,10,794
AMD Ryzen 5 PRO 3500U,2,4,15,2100,3700,4,8,12,795.5
Intel Core i7-10510U,1,8,15,1800,4900,4,8,14,801.95
Intel Core i7-8565U,1,8,15,1800,4600,4,8,14,806.45
Intel Core i5-8365U,1,6,15,1600,4100,4,8,14,825
Intel Core i5-10210U,1,6,15,1600,4200,4,8,14,829
Intel Core i7-1065G7,2,8,15,1300,3900,4,8,10,836
Intel Core i7-1180G7,5,12,9,2200,4600,4,8,10,844
Intel Core i5-1035G1,2,6,15,1000,3600,4,8,10,863.4
Intel Core i5-10310U,1,6,15,1700,4400,4,8,14,864
Intel Core i5-8265U,1,6,15,1600,3900,4,8,14,868.75
Intel Core i5-8250U,1,6,15,1600,3400,4,8,14,899.5
Intel Core i5-7300HQ,1,6,45,2500,3500,4,4,14,900.5
AMD Ryzen 3 4300U,2,6,15,2700,3700,4,4,7,907
Intel Core i7-1160G7,5,12,15,2100,4400,4,8,10,910.5
Intel Core i7-8550U,1,8,15,1800,4000,4,8,14,913
AMD Ryzen 5 3450U,2,4,15,2100,3500,4,8,12,946
Intel Core i5-1035G4,2,6,15,1100,3700,4,8,10,958
Intel Core i7-2860QM,1,8,45,2500,3600,4,8,32,990.5
Intel Core i5-1140G7,5,8,15,1800,4200,4,8,10,993
AMD Ryzen 5 PRO 2500U,2,4,15,2000,3600,4,8,14,1006.93
Intel Core i3-1115G4,2.5,6,28,3000,4100,2,4,10,1058
Intel Core i5-1130G7,5,8,15,1800,4000,4,8,10,1189.5
AMD Ryzen 3 3300U,2,4,15,2100,3500,4,4,12,1212
Intel Core i7-6567U,0.512,4,28,3300,3600,2,4,14,1243.6
Intel Core i5-6287U,0.512,4,28,3100,3500,2,4,14,1250
Intel Core i7-7660U,0.512,4,15,2500,4000,2,4,14,1257
Intel Core i3-1005G1,1,4,15,1200,3400,2,4,10,1264
Intel Core i3-10110U,1,4,15,2100,4100,2,4,14,1279.65
Intel Core i5-1030NG7,2,6,10,1100,3500,4,8,10,1310
Intel Core i3-8109U,0.512,4,28,3000,3600,2,4,14,1328
AMD Athlon Gold 3150U,1,4,15,2600,3300,2,4,14,1348
AMD Ryzen 3 3250U,1,4,15,2600,3500,2,4,14,1399
AMD Ryzen Embedded R1606G,1,4,15,2600,3500,2,4,14,1455.6
AMD Ryzen 3 3200U,1,4,15,2600,3500,2,4,14,1485
Intel Core i7-6560U,0.512,4,15,2200,3200,2,4,14,1505
Intel Core i3-1110G4,2.5,6,15,2500,3900,2,4,10,1560
Intel Celeron N5095,1.5,4,15,2000,2900,4,4,10,1570
Intel Core i5-8210Y,0.512,4,7,1600,3600,2,4,14,1680
Intel Core i5-4258U,0.512,3,28,2400,2900,2,4,22,1719
AMD Ryzen Embedded R1505G,2,4,10,2400,3300,2,4,14,1725
Intel Core m3-7Y30,0.512,4,4.5,1000,2600,2,4,14,1809.1
Intel Core i3-1000NG4,1,4,9,1100,3200,2,4,10,1814
Intel Core i3-10100Y,0.512,4,5,1300,3900,2,4,14,1825
Intel Pentium Silver N6000,1.5,4,6,1100,3300,4,4,10,1836.55
Intel Pentium Silver N6005,1.5,4,10,2000,3300,4,4,10,1918.45
Intel Core i7-7Y75,0.512,4,4.5,1300,3600,2,4,14,1920.6
Intel Core i7-8500Y,0.512,4,5,1500,4200,2,4,14,1965.3
Intel Core i5-L16G7,1.5,4,7,1400,3000,5,5,10,2026.5
Intel Core i3-5005U,0.512,3,15,2000,2000,2,4,14,2101
Intel Pentium Gold 5405U,0.512,2,15,2300,2300,2,4,14,2179.5
Intel Core m3-8100Y,0.512,4,5,1100,3400,2,4,14,2206
AMD Athlon Silver 3050e,1,4,6,1400,2800,2,4,14,2298.5
Intel Celeron J4125,4,0,10,2000,2700,4,4,14,2384.85
Intel Celeron J4115,4,0,10,1800,2500,4,4,14,2515
Intel Celeron N4120,4,0,6,1100,2600,4,4,14,2570.5
Intel Pentium Silver N5000,4,0,6,1100,2700,4,4,14,2707.1
AMD A10-5750M,4,0,35,2500,3500,4,4,32,2754
Intel Celeron 6305,2.5,4,15,1800,1800,2,2,10,2834
Intel Celeron N4505,1.5,4,10,2000,2900,2,2,10,2845
AMD 3020e,1,4,6,1200,2600,2,2,14,2964
AMD A10-4600M,4,0,35,2300,3200,4,4,32,3004
Intel Celeron N4100,4,0,6,1100,2400,4,4,14,3176
AMD A8-5550M,4,0,35,2100,3100,4,4,32,3223
Intel Celeron 2970M,0.512,2,37,2200,2200,2,2,22,3401
Intel Celeron N4500,1.5,4,6,1100,2800,2,2,10,4249
